round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,eta
1,"(-49.0, 309.5)","(-407.0, -305.5)",1,1,1130.25,951.0,-49.0,309.5,-49.0,358.5,130.25,1,0,0,1,1,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,,,,,0.75
2,"(-407.0, -241.5)","(-49.0, 440.5)",2,1,1326.0,902.0,-49.0,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,,,,,0.75
3,"(-241.5, -49.0)","(-407.0, -49.0)",1,1,1180.75,660.5,-241.5,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,,,,,0.75
4,"(-49.0, 108.5)","(309.5, 0.0)",2,2,1335.5,660.5,0.0,108.5,-49.0,157.5,29.75,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,,0.75
5,"(-305.5, 210.5)","(-241.5, 210.5)",2,2,1320.0,871.0,210.5,210.5,-305.5,516.0,-47.5,1,0,0,1,1,210.5,-241.5,452.0,-15.5,1,0,0,1,1,,,,,,,,,0.75
6,"(-407.0, 440.5)","(-407.0, 0.0)",1,1,1336.75,464.0,-407.0,440.5,-407.0,847.5,16.75,1,0,0,1,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,,0.75
7,"(-241.5, 0.0)","(-305.5, 440.5)",2,1,1404.25,158.5,-305.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,,,,,0.75
8,"(-49.0, 210.5)","(-407.0, 309.5)",1,1,1485.0,109.5,-49.0,210.5,-49.0,259.5,80.75,1,0,0,1,1,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,,,,,0.75
9,"(-407.0, 0.0)","(-407.0, -49.0)",2,1,1257.0,-297.5,-407.0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,,,,,0.75
10,"(-305.5, 108.5)","(-407.0, 0.0)",2,2,1053.5,-297.5,0.0,108.5,-305.5,414.0,-98.5,1,0,0,1,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,,0.75
11,"(-407.0, 210.5)","(210.5, 309.5)",2,2,1313.5,12.0,309.5,210.5,-407.0,617.5,-98.25,1,0,0,1,1,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
12,"(-407.0, 0.0)","(-49.0, 0.0)",2,2,1289.0,12.0,0.0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,,,,,0.75
13,"(-241.5, -49.0)","(-305.5, -49.0)",2,1,1111.75,-293.5,-305.5,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,,,,,,,,,0.75
14,"(108.5, 0.0)","(-407.0, 210.5)",2,2,1013.5,-83.0,210.5,108.5,0.0,108.5,54.25,0,0,0,1,0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,,,,,0.75
15,"(-241.5, 440.5)","(108.5, 440.5)",2,1,1288.0,25.5,108.5,440.5,-241.5,682.0,99.5,1,0,0,1,1,440.5,108.5,332.0,274.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
16,"(-305.5, 440.5)","(210.5, 0.0)",2,2,1393.25,25.5,0.0,440.5,-305.5,746.0,67.5,1,0,0,1,1,210.5,0.0,210.5,105.25,0,0,0,1,0,,,,,,,,,0.75
17,"(-49.0, 108.5)","(-49.0, 440.5)",2,1,1589.0,-23.5,-49.0,108.5,-49.0,157.5,29.75,1,0,0,1,1,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,,,,,0.75
18,"(-241.5, 210.5)","(309.5, 0.0)",2,2,1743.75,-23.5,0.0,210.5,-241.5,452.0,-15.5,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,,0.75
19,"(108.5, 440.5)","(309.5, 440.5)",2,1,2118.75,286.0,309.5,440.5,108.5,332.0,274.5,0,1,0,2,0,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.75
