round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
1,"(309.5, 440.5)","(-407.0, 309.5)",1,1,1375.0,1309.5,309.5,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,1.5
2,"(108.5, 309.5)","(309.5, 0.0)",1,1,1584.0,1418.0,108.5,309.5,108.5,201.0,209.0,0,1,0,2,0,1.0,0.0,2.0,0.0,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,1.5
3,"(-241.5, 309.5)","(-305.5, 309.5)",1,2,1618.0,1727.5,309.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,309.5,-305.5,615.0,2.0,1,0,0,1,1,,,,,1.5
4,"(309.5, 0.0)","(-407.0, 210.5)",1,2,1772.75,1727.5,0.0,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,1.5
5,"(108.5, 309.5)","(-407.0, -305.5)",1,2,1981.75,2037.0,309.5,309.5,108.5,201.0,209.0,0,1,0,2,0,1.0,0.0,2.0,0.0,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,1.5
6,"(309.5, 0.0)","(-241.5, 309.5)",1,2,2136.5,2037.0,0.0,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,1.5
7,"(-305.5, -49.0)","(-49.0, 210.5)",2,1,2217.25,1988.0,-49.0,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,,,,,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,1.5
8,"(-241.5, 108.5)","(-407.0, 440.5)",2,2,2234.0,2428.5,440.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,1.5
9,"(-49.0, 440.5)","(108.5, 0.0)",1,1,2429.75,2379.5,-49.0,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,108.5,0.0,108.5,54.25,0,0,0,1,0,,,,,1.5
10,"(210.5, 440.5)","(-241.5, 0.0)",1,1,2755.25,2590.0,210.5,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,1.5
11,"(-49.0, 0.0)","(210.5, 440.5)",2,1,3080.75,2800.5,210.5,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,1.5
12,"(210.5, 440.5)","(309.5, 440.5)",2,2,3455.75,3241.0,440.5,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,1.5
