round,g1_a,g1_b,g2_a,g2_b,ee_choice,coin_flip,realized,wealth_expected,wealth_actual,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers
1,-305.5,210.5,210.5,309.5,2,1,210.5,1260.0,1210.5,210.5,-305.5,516.0,-47.5,1,0,0,1,1,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
2,210.5,309.5,-305.5,0.0,1,2,309.5,1520.0,1520.0,309.5,210.5,99.0,260.0,0,1,0,2,0,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,1.0,0.0,2.0,0.0
3,-407.0,210.5,-49.0,0.0,2,1,-49.0,1495.5,1471.0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,,,,
4,-407.0,0.0,-49.0,210.5,2,2,210.5,1576.25,1681.5,0.0,-407.0,407.0,-203.5,0,0,0,0,1,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,,,,
5,-305.5,-241.5,-49.0,108.5,2,1,-49.0,1606.0,1632.5,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,
6,-241.5,210.5,-49.0,210.5,2,2,210.5,1686.75,1843.0,210.5,-241.5,452.0,-15.5,1,0,0,1,1,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,,,,
7,210.5,440.5,-305.5,108.5,1,1,210.5,2012.25,2053.5,440.5,210.5,230.0,325.5,0,1,0,2,0,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
8,-407.0,440.5,108.5,210.5,2,1,108.5,2171.75,2162.0,440.5,-407.0,847.5,16.75,1,0,0,1,1,210.5,108.5,102.0,159.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
9,440.5,0.0,-305.5,210.5,1,1,440.5,2392.0,2602.5,440.5,0.0,440.5,220.25,0,0,0,1,0,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,,,,
10,108.5,440.5,-241.5,440.5,1,2,440.5,2666.5,3043.0,440.5,108.5,332.0,274.5,0,1,0,2,0,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
11,309.5,440.5,-241.5,309.5,1,1,309.5,3041.5,3352.5,440.5,309.5,131.0,375.0,0,1,0,2,0,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
12,-407.0,210.5,309.5,0.0,2,2,0.0,3196.25,3352.5,210.5,-407.0,617.5,-98.25,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
13,210.5,0.0,309.5,0.0,2,1,309.5,3351.0,3662.0,210.5,0.0,210.5,105.25,0,0,0,1,0,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
14,-241.5,440.5,210.5,0.0,2,2,0.0,3456.25,3662.0,440.5,-241.5,682.0,99.5,1,0,0,1,1,210.5,0.0,210.5,105.25,0,0,0,1,0,,,,,,,,
15,-241.5,0.0,-407.0,440.5,2,1,-407.0,3473.0,3255.0,0.0,-241.5,241.5,-120.75,0,0,0,0,1,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,,,,
16,108.5,0.0,309.5,0.0,2,2,0.0,3627.75,3255.0,108.5,0.0,108.5,54.25,0,0,0,1,0,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
