round,g1_a,g1_b,g2_a,g2_b,ee_choice,coin_flip,realized,wealth_expected,wealth_actual,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers
1,0.649,2.164,1.006,1.446,2,2,1.446,1226.0,1446.0,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0
2,0.427,1.184,0.583,1.006,2,1,0.583,974.057,843.0179999999999,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1
3,0.427,0.841,0.649,1.446,2,1,0.649,1020.3247074999999,547.1186819999999,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1
4,0.841,1.006,1.006,2.164,2,1,1.006,1617.2146613874997,550.4013940919999,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0
5,0.427,2.164,0.583,1.184,1,2,2.164,2095.101593827506,1191.0686168150878,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1
6,0.841,1.739,0.841,1.446,1,1,0.841,2702.681056037483,1001.6887067414888,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1
7,0.649,2.164,0.583,1.184,1,2,2.164,3801.3209053167197,2167.654361388582,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1
8,0.649,0.841,0.649,1.006,2,2,1.006,3145.5930491495856,2180.6602875569133,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1
9,1.446,1.739,0.649,1.006,1,1,1.446,5009.356930770715,3153.2347758072965,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1
10,0.427,0.649,1.446,2.164,2,2,2.164,9041.889260041142,6823.60005484699,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0
11,0.427,2.164,1.446,2.164,2,1,1.446,16320.610114374262,9866.925679308748,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0
12,0.649,1.006,0.841,2.164,2,1,0.841,24521.71669684733,8298.084496298658,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1
13,0.649,1.006,0.583,1.184,2,1,0.583,21664.936701664614,4837.783261342117,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1
14,1.006,2.164,0.649,1.739,1,1,1.006,34338.92467213841,4866.80996091017,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1
15,1.006,1.739,1.184,1.739,2,2,1.739,50186.33840833029,8463.382522022786,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0
16,1.184,1.446,0.427,1.446,1,1,1.184,65995.03500695432,10020.644906074978,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1
17,0.583,0.649,0.427,1.006,2,1,0.427,47285.44258248277,4278.815374894016,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1
18,0.583,1.006,0.427,1.739,2,2,1.739,51210.13431682884,7440.859936940694,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1
19,1.739,2.164,1.446,2.164,1,1,1.739,99936.57711929148,12939.655430339868,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0
20,1.006,1.739,0.427,0.841,1,1,1.006,137162.95209622756,13017.293362921908,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2
21,0.427,0.841,0.583,1.739,2,2,1.739,159246.1873837202,22637.0731581212,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1
22,0.649,1.446,1.184,2.164,2,1,1.184,266578.1176803476,26802.294619215496,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0
23,0.841,2.164,0.427,1.006,1,1,0.841,400533.62181472225,22540.72977476023,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1
24,0.427,1.006,0.427,0.841,1,1,0.427,286982.3400302485,9624.89161382262,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2
25,0.583,0.649,0.427,1.739,2,2,1.739,310801.87425275915,16737.686516437538,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1
26,0.427,1.446,1.006,2.164,2,2,2.164,492620.9706906233,36220.35362157084,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0
27,0.427,1.006,1.006,1.739,2,2,1.739,676122.2822728804,62987.19494791169,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0
28,0.583,0.841,0.649,1.446,2,2,1.446,708238.0906808422,91079.48389468029,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1
29,0.427,0.841,0.427,0.649,1,1,0.427,449022.94949165394,38890.939623028484,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2
