round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
1,"(1.184, 1.739)","(1.006, 1.446)",1,1,1461.5,1184.0,1.184,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.0
2,"(0.583, 0.649)","(0.427, 1.739)",2,2,1582.8045,2058.976,1.739,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,1.0
3,"(0.427, 0.841)","(1.446, 1.739)",2,1,2520.61616625,2977.279296,1.446,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,1.0
4,"(1.006, 2.164)","(0.427, 1.006)",1,1,3995.1766235062496,2995.142971776,1.006,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,1.0
5,"(0.649, 0.841)","(0.583, 0.841)",1,1,2976.406584512156,1943.8477886826242,0.649,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,1.0
6,"(0.583, 1.446)","(1.184, 1.446)",2,1,3913.974658633485,2301.515781800227,1.184,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0,1.0
7,"(0.583, 0.649)","(0.427, 0.841)",1,2,2411.0083897182267,1493.6837423883476,0.649,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.0
8,"(0.583, 1.739)","(1.446, 1.739)",2,1,3839.530860626276,2159.8666914935507,1.446,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,1.0
9,"(0.427, 0.649)","(0.649, 2.164)",2,2,5400.300155470858,4673.951520392044,2.164,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1,1.0
10,"(0.427, 1.739)","(1.006, 1.184)",2,1,5913.328670240589,4701.995229514396,1.006,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,1.0
11,"(0.583, 0.841)","(0.841, 1.006)",2,2,5460.959026967184,4730.207200891482,1.006,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.0
12,"(0.427, 1.184)","(0.427, 0.841)",1,1,4398.802496222067,2019.7984747806627,0.427,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2,1.0
13,"(0.649, 1.184)","(0.427, 1.184)",1,1,4031.5024877875244,1310.8492101326501,0.649,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,1.0
